Geneid,Control1,Control2,Control3,Disease1,Disease2,Disease3
ENSG00000290825.1,3,16,0,2,7,31
ENSG00000223972.6,6,10,0,0,9,14
ENSG00000227232.5,51,114,46,10,59,207
ENSG00000278267.1,11,16,11,1,11,7
ENSG00000243485.5,13,12,15,1,4,38
ENSG00000284332.1,0,0,0,0,0,0
ENSG00000237613.2,3,6,7,1,13,6
ENSG00000268020.3,1,3,8,2,9,7
ENSG00000290826.1,6,6,3,0,4,8
ENSG00000240361.3,0,0,0,0,0,0
ENSG00000186092.7,3,10,6,6,17,9
ENSG00000238009.6,1,35,14,4,33,34
ENSG00000239945.1,0,0,0,0,0,0
ENSG00000233750.3,23,39,40,27,64,73
ENSG00000268903.1,6,5,5,5,25,18
ENSG00000269981.1,15,12,14,13,37,26
ENSG00000239906.1,1,5,1,1,8,8
ENSG00000241860.7,19,12,10,0,21,15
ENSG00000222623.1,0,1,0,0,0,0
ENSG00000241599.1,1,1,1,0,0,1
ENSG00000279928.2,58,26,100,38,38,122
ENSG00000279457.4,102,46,105,44,95,127
ENSG00000273874.1,0,0,0,0,0,0
ENSG00000228463.10,27,12,24,11,36,29
ENSG00000286448.1,52,23,61,14,36,46
ENSG00000236679.2,1,0,1,0,2,2
ENSG00000236601.2,4,1,3,0,5,3
ENSG00000290385.1,43,19,31,5,44,41
ENSG00000269732.1,0,0,0,0,0,0
ENSG00000284733.2,0,0,0,0,0,0
ENSG00000237094.13,0,0,0,0,0,0
ENSG00000233653.3,7,0,2,0,3,1
ENSG00000250575.1,6,1,1,0,2,2
ENSG00000278757.1,2,2,0,2,0,4
ENSG00000230021.10,20,26,24,3,27,14
ENSG00000235146.2,0,2,1,1,3,1
ENSG00000225972.1,91,3048,59,9,44,50
ENSG00000225630.1,2724,1286,3469,853,2179,5473
ENSG00000237973.1,1000,1913,733,109,1953,222
ENSG00000278791.1,0,0,0,0,0,0
ENSG00000229344.1,28,2341,35,8,42,27
ENSG00000240409.1,5,9,4,0,5,4
ENSG00000248527.1,3121,3147,3901,597,1391,1930
ENSG00000198744.5,35,31,41,5,35,15
ENSG00000268663.1,2,2,2,1,2,0
ENSG00000284662.2,0,0,0,0,0,1
ENSG00000229376.3,37,14,31,22,54,79
ENSG00000291215.1,108,68,100,29,109,132
ENSG00000223181.1,3,1,1,0,3,4
ENSG00000229905.1,4,4,9,5,8,14
ENSG00000228327.6,0,0,0,0,0,0
ENSG00000237491.10,73,80,157,59,129,162
ENSG00000285268.1,0,0,0,0,0,0
ENSG00000290784.1,2,8,4,5,7,5
ENSG00000230092.8,0,0,0,0,0,0
ENSG00000177757.2,40,37,65,18,45,85
ENSG00000225880.6,75,69,118,23,64,146
ENSG00000228794.12,486,542,499,180,512,700
ENSG00000288531.1,89,69,84,36,94,145
ENSG00000230368.2,13,17,21,12,24,69
ENSG00000234711.1,55,48,32,15,43,91
ENSG00000283040.1,23,14,21,5,28,41
ENSG00000272438.1,22,26,18,9,37,50
ENSG00000230699.2,78,78,70,40,107,162
ENSG00000241180.1,1,0,0,0,6,4
ENSG00000223764.2,71,83,61,56,118,134
ENSG00000187634.13,149,159,137,73,214,343
ENSG00000188976.11,355,352,400,175,368,636
ENSG00000187961.15,115,143,91,62,146,282
ENSG00000187583.11,135,132,116,90,198,356
ENSG00000187642.10,483,314,474,99,215,303
ENSG00000272512.1,73,75,72,31,88,169
ENSG00000188290.11,57,55,45,14,59,80
ENSG00000187608.10,61,74,63,26,81,131
ENSG00000231702.2,5,1,7,0,7,11
ENSG00000224969.1,19,17,20,5,33,25
ENSG00000188157.15,347,364,379,158,568,888
ENSG00000242590.1,0,0,0,0,0,0
ENSG00000291156.1,24,44,31,19,45,102
ENSG00000273443.1,19,26,10,9,32,60
ENSG00000217801.13,80,59,62,39,113,203
ENSG00000237330.3,71,55,38,23,70,123
ENSG00000131591.18,190,164,122,83,241,434
ENSG00000285812.1,18,12,28,12,24,30
ENSG00000223823.1,59,81,68,32,104,140
ENSG00000207730.3,13,2,13,5,19,23
ENSG00000207607.3,8,13,20,4,18,24
ENSG00000198976.1,6,6,8,7,19,14
ENSG00000272141.1,27,34,30,17,60,66
ENSG00000205231.1,71,105,74,48,112,149
ENSG00000162571.14,193,190,145,75,202,383
ENSG00000186891.14,81,67,47,34,94,183
ENSG00000186827.12,89,74,47,41,87,161
ENSG00000078808.20,367,303,340,125,314,431
ENSG00000176022.7,110,70,90,42,126,163
ENSG00000184163.3,71,68,60,23,99,132
ENSG00000260179.1,41,56,20,28,60,87
ENSG00000160087.21,161,162,173,89,174,277
ENSG00000230415.1,39,27,35,9,39,56
ENSG00000162572.21,186,212,167,89,250,431
ENSG00000131584.19,366,259,325,151,349,598
ENSG00000278073.1,0,0,0,0,0,0
ENSG00000169972.13,66,73,66,40,104,166
ENSG00000127054.22,404,366,408,134,364,581
ENSG00000283712.1,0,0,0,0,0,0
ENSG00000240731.1,20,21,17,7,31,40
ENSG00000224051.7,119,105,120,47,135,196
ENSG00000169962.5,113,138,114,74,189,313
ENSG00000107404.21,597,679,664,202,309,676
ENSG00000284372.1,0,0,0,0,0,0
ENSG00000162576.17,212,209,186,80,214,391
ENSG00000175756.14,238,199,258,57,162,184
ENSG00000223663.2,16,15,8,3,15,8
ENSG00000221978.13,347,304,397,149,463,581
ENSG00000224870.9,79,73,100,35,66,197
ENSG00000242485.6,198,193,161,42,128,147
ENSG00000264293.2,0,0,0,0,0,0
ENSG00000272455.1,48,30,27,18,75,63
ENSG00000235098.9,86,88,61,40,165,192
ENSG00000225905.1,18,4,19,7,18,22
ENSG00000205116.4,58,66,55,21,78,108
ENSG00000225285.1,27,54,21,10,46,86
ENSG00000179403.12,157,173,166,68,230,314
ENSG00000215915.10,196,174,131,84,256,398
ENSG00000160072.20,226,203,223,103,282,395
ENSG00000290916.1,6,9,11,5,16,21
ENSG00000284740.3,0,0,0,0,0,0
ENSG00000197785.14,282,235,244,123,307,444
ENSG00000205090.10,54,57,49,32,100,123
ENSG00000160075.12,504,449,479,159,411,494
ENSG00000215014.5,32,27,24,7,46,59
ENSG00000274481.1,19,18,18,7,21,41
ENSG00000228594.4,83,76,68,25,115,140
ENSG00000286989.1,60,65,50,43,107,172
ENSG00000272106.1,86,62,99,32,67,113
ENSG00000197530.13,548,454,558,167,370,646
ENSG00000189409.14,25,34,17,10,24,19
ENSG00000248333.9,348,352,273,120,365,426
ENSG00000272004.1,2,1,5,0,1,5
ENSG00000189339.12,377,268,331,130,334,416
ENSG00000269737.2,89,86,73,20,103,118
ENSG00000215914.4,30,18,5,4,2,20
ENSG00000008128.23,32,18,15,6,28,37
ENSG00000268575.1,26,17,14,7,11,31
ENSG00000227775.3,10,4,13,2,4,8
ENSG00000290854.1,84,33,30,17,36,86
